parent_cycle_start,entry_area,path_prefix,indirect_count,direct_count,direct_bytes
436,433,/data/big_maps,276405,1003612,53614488
437,428,/data/rolls,0,260679,1883847
438,428,/data/delegates,358,2149,88109
435,433,/data/cycle,0,3,36
437,435,/data/delegates,7,28,1148
435,434,/data/delegates,11,25,1025
440,435,/data/delegates,7,28,1148
434,428,/data/active_delegates_with_rolls,7,0,0
430,429,/data/big_maps,337028,1913124,114180369
444,433,/data/big_maps,230173,445784,18202856
437,430,/data/delegates,0,4,164
433,431,/data/rolls,0,5404,32011
444,428,/data/cache,0,2,8
442,431,/data/contracts,729,48229,1124098
439,435,/data/delegates,7,28,1148
445,432,/data/rolls,0,8160,48154
443,431,/data/active_delegates_with_rolls,3,0,0
437,429,/data/contracts,970,74355,1789784
436,432,/data/big_maps,237793,691925,33713822
443,428,/data/cycle,0,27,95
434,432,/data/votes,359,9,369
438,429,/data/big_maps,143444,364591,16524578
441,434,/data/rolls,0,4087,24160
430,428,/data/delegates,369,2198,90118
444,428,/data/sapling,115,419,2618
444,439,/data/delegates,0,6,246
445,438,/data/contracts,905,74112,1812500
443,433,/data/big_maps,231857,465425,19439551
441,432,/data/big_maps,212907,411731,15955058
432,428,/data/active_delegates_with_rolls,50,0,0
429,428,/data/commitments,0,4749,194709
445,442,/data/delegates,0,13,533
442,437,/data/commitments,0,6,246
442,439,/data/rolls,0,6336,37382
434,429,/data/big_maps,161898,557214,28705526
434,430,/data/rolls,0,2993,17743
441,440,/data/commitments,0,23,943
444,430,/data/rolls,0,1711,10171
444,438,/data/cycle,0,3,36
442,438,/data/rolls,0,5310,31118
441,438,/data/cycle,0,6,72
444,432,/data/rolls,0,9074,53520
442,441,/data,1,17,231
441,437,/data/delegates,1,1,41
437,431,/data/cycle,0,4,39
432,429,/data/cycle,0,3,36
445,440,/data/delegates_with_frozen_balance,177,8,328
439,433,/data/delegates,0,1,41
443,428,/data/rolls,0,234109,1729583
440,438,/data/big_maps,256806,1458864,85599614
436,435,/data/big_maps,412661,2593249,155211168
444,431,/data/big_maps,122067,278838,12118244
443,439,/data/delegates_with_frozen_balance,169,6,246
441,428,/data/votes,7,0,0
445,444,/data/contracts,7674,837952,19621548
445,437,/data/commitments,0,6,246
436,432,/data/rolls,0,9849,58110
433,430,/data/commitments,0,9,369
442,441,/,3,2,62
436,434,/data/active_delegates_with_rolls,76,3,123
441,439,/data/rolls,0,6497,38330
436,435,/data,1,17,231
434,430,/data/commitments,0,9,369
437,436,/data/commitments,0,19,779
444,433,/data/rolls,0,2422,14326
439,438,/data/commitments,0,43,1763
441,437,/data/active_delegates_with_rolls,7,0,0
444,443,/data/cycle,0,152,1193
