parent_cycle_start,entry_area,path,kind,node_length,contents_size,count,bytes,indirect_count,direct_count,direct_bytes
443,436,/data/big_maps/*/*/*/*/*,"Contents","Na","Cs_512_plus",19,13436,0,0,0
443,436,/data/contracts/*/*/*/*,"Contents","Na","Cs_512_plus",127,160092,0,0,0
439,438,/data/cycle/*,"Inode_root_values","Nl_0_32","Na",3,313,0,10,115
434,433,/data/delegates_with_frozen_balance/*/*,"Inode_root_values","Nl_0_32","Na",2,558,44,0,0
441,436,/data/contracts/*/*/*,"Inode_nonroot_values","Nl_2049_16384","Na",338,101648,0,1652,74340
443,433,/data/big_maps/*/*/*/*,"Inode_root_values","Nl_0_32","Na",176214,10396626,176214,176214,704856
430,429,/data/big_maps/*/*/*,"Inode_root_tree","Nl_257_2048","Na",316,113760,0,0,0
440,431,/data/big_maps/*/*/*,"Inode_nonroot_tree","Nl_2049_16384","Na",18,5967,0,0,0
438,432,/data/big_maps/*/*,"Inode_root_values","Nl_0_32","Na",1301,104025,5199,0,0
438,433,/data/contracts/*/*/*/*,"Contents","Na","Cs_128_511",263,83627,0,0,0
438,433,/data/big_maps/*/*/*/*/*,"Contents","Na","Cs_128_511",4622,1152556,0,0,0
441,437,/data/contracts/*/*,"Inode_root_values","Nl_0_32","Na",13911,1267092,1115,44196,357373
432,430,/data/big_maps/*/*/*,"Inode_nonroot_tree","Nl_2049_16384","Na",203,69841,0,0,0
434,428,/data/big_maps/*/*,"Inode_root_values","Nl_0_32","Na",15887,1269156,63384,0,0
444,442,/data/rolls/*/*/*/*,"Inode_nonroot_values","Multiple","Na",2602,199932,0,7144,41961
440,429,/data/contracts/*/*/*,"Inode_root_tree","Nl_33_256","Na",1,259,0,0,0
431,429,/data/contracts/*/*/*/*,"Contents","Na","Cs_512_plus",131,231356,0,0,0
431,429,/data/big_maps/*/*/*/*/*,"Contents","Na","Cs_512_plus",116,114587,0,0,0
432,428,/data/votes/*/*,"Inode_root_tree","Nl_257_2048","Na",1,360,0,0,0
439,436,/data/contracts/*/*/*,"Inode_nonroot_values","Nl_257_2048","Na",435,150806,0,2499,112455
436,431,/data/big_maps/*/*/*,"Inode_nonroot_values","Nl_16385_plus","Na",73723,32997977,6275,408189,26532285
432,430,/data/contracts/*,"Inode_nonroot_tree","Nl_16385_plus","Na",258,77752,0,0,0
441,435,/data/rolls/*/*/*/*,"Inode_nonroot_values","Nl_16385_plus","Na",212,18837,0,752,4437
440,430,/data/rolls/*/*/*/*,"Inode_nonroot_tree","Nl_16385_plus","Na",333,111469,0,0,0
437,428,/data/contracts/*/*/*,"Inode_root_tree","Nl_257_2048","Na",5,1800,0,0,0
435,432,/data/big_maps/*,"Inode_nonroot_values","Nl_16385_plus","Na",1543,110501,0,3694,21707
435,434,/data/contracts/*/*/*,"Inode_root_tree","Nl_257_2048","Na",63,22680,0,0,0
438,435,/data/big_maps/*/*/*,"Contents","Na","Cs_0_31",53,1946,0,0,0
444,436,/data/contracts/*,"Inode_nonroot_tree","Nl_16385_plus","Na",5,1535,0,0,0
440,436,/data/big_maps/*/*/*/*/*,"Contents","Na","Cs_512_plus",33,52747,0,0,0
440,436,/data/contracts/*/*/*/*,"Contents","Na","Cs_512_plus",130,163810,0,0,0
439,428,/data/sapling/*/*/*,"Inode_root_tree","Nl_33_256","Na",4,1276,0,0,0
442,440,/data/delegates_with_frozen_balance/*/*,"Inode_nonroot_values","Nl_257_2048","Na",14,2428,146,7,287
439,437,/data/rolls/*/*/*/*,"Inode_nonroot_tree","Multiple","Na",596,198434,0,0,0
434,432,/data/cycle/*/*,"Contents","Na","Cs_32_127",1,66,0,0,0
445,432,/data/big_maps/*/*/*,"Inode_root_values","Nl_0_32","Na",978,176630,3211,1423,92495
444,434,/data/contracts/*/*,"Inode_root_values","Nl_0_32","Na",8116,737888,547,25774,208271
441,431,/data/big_maps/*/*/*,"Inode_nonroot_tree","Nl_16385_plus","Na",158,44083,0,0,0
